名次,标的,得分,建议均线,均线来源,建议复权,复权来源,Δ盈亏,白名单,跨年轮次,年最少轮次,成交年,盈利年,稳定性,年等权盈亏,胜率,利润因子,策略质量,trail占比,最大回撤,年化波动,贴线率,近期,未过原因,盈亏2016,盈亏2017,盈亏2018,盈亏2019,盈亏2020,盈亏2021,盈亏2022,盈亏2023,盈亏2024,盈亏2025,盈亏2026
132,601898.SH,47.396694214876035,EMA,compare,等比前复权,compare,17968.37,,49,1,11,6,54.54545454545454,1618.5872727272729,61.22244897959184,1.3635498240696273,0.36734693877551017,67.3469387755102,-7.634199999999999,43.778254339780766,23.605150214592275,无近期,,4923.78,-5717.24,-2466.79,-3360.87,-2358.73,5835.25,-1133.55,3196.98,4016.82,14139.61,729.2
133,688005.SH,47.014462809917354,EMA,compare,前复权,compare,13675.29,,12,0,4,3,75,340.3125,58.324999999999996,1.277262631107798,0.5,75,-6.256,44.22394754955241,22.746781115879827,无近期,,,,,0,1563.75,0,4832.21,0,0,2087.54,-5761
134,600588.SH,46.663223140495866,EMA,compare,等比前复权,compare,11224.180000000002,,46,1,11,7,63.63636363636363,820.3454545454547,60.87391304347827,1.2251512269317177,0.4782608695652174,73.91304347826086,-5.0626,47.759445045414296,27.038626609442062,无近期,,4812.96,1259.72,586.39,-3244.14,6373.8,761.73,-3597.75,3055.09,2116,-476,-2624
135,600233.SH,46.41528925619834,SMA,compare,等比前复权,compare,-8598.240000000002,,28,0,7,3,42.857142857142854,1088.7763636363636,71.42142857142858,1.6814454458555235,0.2857142857142858,64.28571428571429,-5.6164,33.487758623654976,31.330472103004293,无近期,,0,-1713.96,0,-1480.16,3912.33,0,4946.88,-1510.62,-22.04,0,7844.11
136,600999.SH,46.40495867768595,EMA,compare,等比前复权,compare,506.3900000000067,,53,0,10,4,40,2831.5845454545456,60.379245283018875,1.5987768181392639,0.2641509433962264,58.490566037735846,-6.1,36.55341153299742,59.65665236051502,无近期,,-865.23,5903.24,-6057.91,12200.57,-1470.32,-1047.43,0,-5854.33,19904.21,-1099.58,9534.21
137,600362.SH,46.34297520661157,EMA,compare,前复权,compare,15546,,41,0,10,5,50,1400.2727272727273,63.40487804878049,1.4109110310790982,0.3658536585365854,68.29268292682927,-9.6523,67.97383879885292,20.171673819742487,无近期,,-1950,952,-3936,-349,13682,6768,0,6009,-5274,-942,443
138,601216.SH,45.196280991735534,EMA,compare,前复权,compare,27044,,43,0,7,3,42.857142857142854,2221.2727272727275,53.50697674418605,1.7479948570378987,0.3488372093023256,67.44186046511628,-7.391,23.278225604694683,41.63090128755365,无近期,,0,15702,0,0,18278,-1045,0,-4080,-4021,-1239,839
139,688111.SH,44.91735537190083,EMA,compare,前复权,compare,9957,,19,0,5,3,60,1527.625,52.642105263157895,1.9138562775742167,0.2631578947368421,63.1578947368421,-3.2567,52.73819920611168,27.467811158798284,无近期,,,,,0,0,7297,-1660,0,-1060,7341,303
140,600309.SH,44.41115702479339,EMA,compare,等比前复权,compare,4404.99,,33,0,8,4,50,1094.0945454545456,66.65454545454546,1.4495022250939809,0.33333333333333326,63.63636363636363,-7.3987,30.363451940451817,33.047210300429185,无近期,,2638.81,0,0,8366.88,-3460.95,11852.81,-7078.47,4593.29,-386.87,-4490.46,0
141,000568.SZ,44.19421487603306,EMA,compare,前复权,compare,8142,,26,0,7,4,57.14285714285714,885.7272727272727,61.52307692307693,1.4546218095282535,0.3846153846153846,69.23076923076923,-5.756,40.37202334146427,31.330472103004293,无近期,,0,0,8360,0,7768,1682,-4604,-3163,-1740,1440,0
142,600115.SH,43.65702479338843,SMA,compare,前复权,compare,-8923.7,,42,0,9,4,44.44444444444444,1778.0636363636365,61.91428571428572,1.5362029591817152,0.28571428571428575,64.28571428571429,-8.4713,24.972567660076262,36.48068669527897,无近期,,-8471.3,1241,0,-417,-1276,1784,10778,-1557,-767,18244,0
143,603833.SH,43.450413223140494,SMA,compare,前复权,compare,-6821,,25,0,7,4,57.14285714285714,198.35699999999997,68.00800000000001,1.0966087083576856,0.43999999999999995,72,-6.991,39.20981906062707,45.06437768240343,无近期,,,0,0,7158.57,5510,-6480,-6991,-2056,0,4464,378
144,002601.SZ,43.16115702479339,SMA,compare,等比前复权,compare,-2994.3400000000006,,33,1,11,6,54.54545454545454,77.01727272727273,72.72727272727275,1.0239707480987565,0.3939393939393939,69.6969696969697,-6.5906,33.65782898979358,41.201716738197426,无近期,,309.02,6906.17,-3172.22,-3721,4315.2,-3038.3,735.31,981.09,-1451.65,-2541.43,1525
145,601166.SH,43.14049586776859,SMA,compare,前复权,compare,-26278,,27,0,9,5,55.55555555555556,1308.8181818181818,62.97037037037038,1.495781535176831,0.18518518518518517,59.25925925925925,-6.555,21.822961321593684,57.93991416309014,无近期,,-813,4285,-2361,2296,7714,-4495,462,-3628,10937,0,0
146,600958.SH,42.70661157024793,EMA,compare,前复权,compare,4337.1600000000035,是,37,0,7,4,57.14285714285714,1290.7709090909093,59.45945945945946,1.438067717092733,0.2972972972972973,64.86486486486487,-10.1368,19.134403004459415,50.21459227467812,无近期,,0,-6703.12,0,-4068.75,-9078.12,1730.47,0,11015,17341,3962,0
